timestamp,slam_mode,ekf_rmse,ekf_ate,ekf_rpe,ekf_max,ekf_std,slam_rmse,slam_ate,slam_rpe,slam_max,slam_std
2.0,rgbd,0.010953411841868207,0.009247388314423429,0.021436363299720138,0.03245571325619219,0.005870523003944686,0.0,0.0,0.0,0.0,0.0
4.0,rgbd,0.0072003661250564345,0.005764961980051049,0.007513656922545728,0.015311546494360886,0.004313987216418946,0.0,0.0,0.0,0.0,0.0
6.0,rgbd,0.004316113297060127,0.0036264222134694897,0.009563993248463923,0.015152591110485749,0.0023404905303620197,0.0,0.0,0.0,0.0,0.0
8.0,rgbd,0.009751916300320648,0.007956899219979325,0.014889449926389287,0.03179878837547225,0.0056380516432143445,0.0,0.0,0.0,0.0,0.0
10.0,rgbd,0.010863381851673251,0.009352715328013347,0.013365972159415493,0.030740920290022806,0.0055262809599592325,0.0,0.0,0.0,0.0,0.0
12.0,rgbd,0.01072893112747821,0.009074756896539983,0.01612594002036488,0.03242542290521202,0.00572352604666659,0.0,0.0,0.0,0.0,0.0
14.0,rgbd,0.007452791234682849,0.005775509371805873,0.01304050290157304,0.026260783863306398,0.004710370334055278,0.0,0.0,0.0,0.0,0.0
16.0,rgbd,0.010082307093101496,0.008553408722456624,0.013837865218099713,0.03069395258314356,0.005337800628180832,0.0,0.0,0.0,0.0,0.0
18.0,rgbd,0.010908239083631999,0.00936392496845806,0.013362428798668086,0.031254369087478084,0.005595229136573802,0.0,0.0,0.0,0.0,0.0
20.0,rgbd,0.01070478135179842,0.009137141132535703,0.015082090747761057,0.0319526667797718,0.0055771852859606,0.0,0.0,0.0,0.0,0.0
22.0,rgbd,0.010828204751156421,0.009311684183726361,0.012784993868699072,0.03024737307483028,0.005526531986291838,0.0,0.0,0.0,0.0,0.0
24.0,rgbd,0.010898144515474089,0.009355384827300856,0.014206689914622681,0.030531290263798666,0.005589841555291788,0.0,0.0,0.0,0.0,0.0
26.0,rgbd,0.010719610235521537,0.00911428834303018,0.014017095924277466,0.03287028479395277,0.005642675925622727,0.0,0.0,0.0,0.0,0.0
28.0,rgbd,0.010879043685063322,0.009337006766842175,0.013117148424102944,0.031220141987342923,0.005583358858022615,0.0,0.0,0.0,0.0,0.0
30.0,rgbd,0.010841617152961934,0.009301024677939917,0.01294002075934636,0.03096822431359906,0.005570601622064811,0.0,0.0,0.0,0.0,0.0
32.0,rgbd,0.010841224434788096,0.009308164321908846,0.01320345793755803,0.03166880839131112,0.005557897462331389,0.0,0.0,0.0,0.0,0.0
34.0,rgbd,0.010893279954787772,0.00933596580333073,0.013381866741823364,0.03188652469256658,0.005612779230686016,0.0,0.0,0.0,0.0,0.0
36.0,rgbd,0.01086881290484157,0.009329269221301112,0.0129134164912239,0.030764431936127164,0.0055763634885949084,0.0,0.0,0.0,0.0,0.0
38.0,rgbd,0.010138499118381224,0.008888919138145424,0.0031535071770817913,0.01711166243807651,0.004876092793305808,0.0,0.0,0.0,0.0,0.0
40.0,rgbd,0.010896518743971564,0.009336969299687366,0.013191423695052006,0.03178303861646869,0.005617394861892763,0.0,0.0,0.0,0.0,0.0
42.0,rgbd,0.010856867639782263,0.009309887373642979,0.013077093313818613,0.03149825213718073,0.005585478675801592,0.0,0.0,0.0,0.0,0.0
44.0,rgbd,0.006803154951990996,0.005121668390332471,0.009074289310475001,0.01707861216214228,0.004477882334348325,0.0,0.0,0.0,0.0,0.0
46.0,rgbd,0.0048270301541974425,0.003277975086831848,0.01102996716074854,0.025197873657792972,0.003543317575329811,0.0,0.0,0.0,0.0,0.0
48.0,rgbd,0.010552102348194089,0.009020965625086738,0.01336256594634331,0.030707037840110023,0.005474398885518537,0.0,0.0,0.0,0.0,0.0
50.0,rgbd,0.010871241182186369,0.009341731377314253,0.013110524935953976,0.030642939754925335,0.005560210402077176,0.0,0.0,0.0,0.0,0.0
52.0,rgbd,0.010965446199198323,0.00941409604099616,0.013177231630440695,0.03138930029498949,0.0056227934408453395,0.0,0.0,0.0,0.0,0.0
54.0,rgbd,0.010959402062003059,0.009409734390406854,0.013302698326344285,0.031108796118329184,0.005618308665304128,0.0,0.0,0.0,0.0,0.0
56.0,rgbd,0.011037200878627041,0.009453890190759914,0.011384275629641501,0.031254687473594854,0.005695942722343595,0.0,0.0,0.0,0.0,0.0
58.0,rgbd,0.011031581549611378,0.009448756511346633,0.011375148172252235,0.030975121213319353,0.005693574613106498,0.0,0.0,0.0,0.0,0.0
60.0,rgbd,0.011019464983678198,0.009448183452642991,0.011348864413188248,0.03105495690630221,0.005671017366550124,0.0,0.0,0.0,0.0,0.0
