timestamp,slam_mode,ekf_rmse,ekf_ate,ekf_rpe,ekf_max,ekf_std,slam_rmse,slam_ate,slam_rpe,slam_max,slam_std
6.0,icp,0.0012212878559666965,0.0012212870589771233,0.0,0.0012223584277174014,1.3952443295342715e-06,0.0,0.0,0.0,0.0,0.0
8.0,icp,0.0012226145066185664,0.0012226122498418016,2.126330720829384e-05,0.0012260128462042495,2.3491127959929454e-06,0.0,0.0,0.0,0.0,0.0
10.0,icp,0.009906163290798695,0.008108954733254474,0.011849107470555757,0.02999367019902661,0.005690072431700453,0.08558667670390949,0.06608736100652256,0.0,0.1673361423846942,0.05438326897505412
12.0,icp,0.0061310845601267455,0.0047632089145782045,0.007254868951727139,0.01682003067441148,0.003860315883384064,0.06531174402829659,0.048674244673351255,0.0,0.16872339286976812,0.04354815511013608
14.0,icp,0.010177347037931023,0.008597041059583229,0.015370318146596602,0.03214362245984973,0.005446951234435956,0.08950514439987405,0.07538127356320778,0.0,0.1687109698229848,0.04825799902639081
16.0,icp,0.009287569935396513,0.007957910870842183,0.012363364222547255,0.02566630835062819,0.004788591638113753,0.08224296109600275,0.06967564535137814,0.0,0.16028087762358564,0.04369449730466756
18.0,icp,0.009423569490468646,0.008092559139746533,0.012387477574974189,0.02571034107287535,0.0048284726893083225,0.08181614377034091,0.06871975811986163,0.01375344753987985,0.15767766142214548,0.044401308825267834
20.0,icp,0.010487542507056342,0.008974285150636334,0.014811105479399057,0.0314476494153987,0.005426854878507609,0.09118829422388124,0.07834429400996216,0.01392240615947295,0.16874124508763275,0.04666343964541982
22.0,icp,0.010682840462356374,0.009186296057546416,0.014765197830922769,0.030608131303373524,0.005452984970386926,0.09830824116749473,0.08509702287485865,0.08477086732386861,0.1697770932424008,0.04922404879001815
24.0,icp,0.010804116471768287,0.009305815342806629,0.014374686663492842,0.029352115669827115,0.00548914688645873,0.09474476076336806,0.08175389600438517,0.08594384113478484,0.1686936321678513,0.0478839240268801
26.0,icp,0.010507936656232819,0.008847725458980906,0.015548552170844686,0.03295058435254011,0.005668728867559504,0.10464136130298751,0.09148820236785536,0.03339588808934963,0.16969006040501422,0.05079097678565275
28.0,icp,0.01049648577664896,0.008943960077955004,0.013533350199278248,0.0328374166817713,0.00549379575369717,0.10273606174091836,0.09124210029282638,0.007557893648201554,0.16810785288765795,0.04721840230447869
30.0,icp,0.01099104660509897,0.009413547025259003,0.014836824767342277,0.031614408389990446,0.005673467888222772,0.10626928533054696,0.09432240012311036,0.04706425553501587,0.169295054445481,0.04895350691912761
