timestamp,x,y,z
0.49100000000000005,1.9999999996378552,-1.3690808609393942e-32,0.0
0.5910000000000001,2.0,-6.237505036022567e-33,0.0
0.6910000000000001,1.981528241266945,-0.007135086636905812,0.0
0.791,1.971752374570042,-0.006470293531374497,0.0
0.891,1.9691839623480583,-0.008448919746895147,0.0
0.9910000000000001,1.9605143617383318,-0.011042845283937695,0.0
1.091,1.9604428883772465,-0.01105638368952008,0.0
1.191,1.9604314491497299,-0.011057904180419907,0.0
1.291,1.9604238476571927,-0.01105775623743915,0.0
1.392,1.960411482764748,-0.011059635369849613,0.0
1.492,1.9604089521521535,-0.01105827513391098,0.0
1.592,1.960395201031496,-0.011060503878631101,0.0
1.6920000000000002,1.960385937078721,-0.011062513006553167,0.0
1.792,1.9603747449689475,-0.011063591902269887,0.0
1.892,1.9603650222495923,-0.011065106803754918,0.0
1.992,1.9603556367555928,-0.011065835713505636,0.0
2.092,1.9603499573782275,-0.011065532128517361,0.0
2.192,1.960341569685399,-0.011065704774030257,0.0
2.292,1.9603410832307762,-0.01106437385974867,0.0
2.392,1.9603368060500344,-0.011065014242555087,0.0
2.492,1.960334038013768,-0.01106380002958046,0.0
2.592,1.9603236788004286,-0.011064937183637928,0.0
2.692,1.9603172440835877,-0.011061686308301455,0.0
2.792,1.9603121897298361,-0.011065078302452834,0.0
2.892,1.960300924698081,-0.011066510205079694,0.0
2.992,1.9602931269848587,-0.011067206136622093,0.0
3.092,1.9602801031621833,-0.011070332717962586,0.0
3.192,1.9602843633743452,-0.011066807213257535,0.0
3.292,1.9602865564155332,-0.011064735215141482,0.0
3.392,1.9602904445445115,-0.011062226053454256,0.0
3.492,1.960294168325691,-0.011059743714438961,0.0
3.592,1.9602952253673296,-0.011057107502940469,0.0
3.692,1.9602864412451513,-0.011058457475792819,0.0
3.792,1.9602803289170045,-0.011057784333297058,0.0
3.892,1.960277173940919,-0.011057509775904133,0.0
3.992,1.9602721754918158,-0.011058178213321718,0.0
4.092,1.9602616589118824,-0.011058771256191438,0.0
4.192,1.9602530258202473,-0.011060503003229265,0.0
4.292,1.960246265536374,-0.01106170544573303,0.0
4.392,1.9602400252453367,-0.011062156730954375,0.0
4.492,1.9602335833951092,-0.0110630053177993,0.0
4.5920000000000005,1.9602264279327344,-0.011063683321746896,0.0
4.692,1.9602201775769654,-0.011064708256770191,0.0
4.792,1.9602147573360487,-0.011065059775362584,0.0
4.892,1.9602092831541618,-0.01106573232492834,0.0
4.992,1.9602030900197511,-0.011066213127455414,0.0
5.092,1.9601978090136627,-0.011067030255200937,0.0
5.192,1.960193423121509,-0.011067158846530678,0.0
5.292,1.9601888540031658,-0.011067639978191471,0.0
5.392,1.960183605316317,-0.01106787480706822,0.0
5.492,1.9601793512102617,-0.011068381644765592,0.0
5.5920000000000005,1.9601761178391104,-0.011068048401593332,0.0
5.692,1.960172569037702,-0.011066116694785091,0.0
5.792,1.9601744180164877,-0.011061611196791608,0.0
5.892,1.9601724731681145,-0.011058923456701075,0.0
5.992,1.9601653031375723,-0.011052562408802353,0.0
6.092,1.9601613726910951,-0.011051058226552736,0.0
6.192,1.96015769223199,-0.011043494696345456,0.0
6.292,1.9601559026751798,-0.01103337207341925,0.0
6.392,1.9601542156978145,-0.01102265563127565,0.0
6.492,1.9601528478412857,-0.011012332138806168,0.0
6.5920000000000005,1.9601514962791564,-0.011001915505042878,0.0
6.692,1.9601402351247594,-0.010989789974072467,0.0
6.792,1.9601224957527257,-0.010982629591272502,0.0
6.892,1.960095178911242,-0.010970520581684117,0.0
6.992,1.9600772923418193,-0.010962992999413234,0.0
7.092,1.9600541302227437,-0.010948321029925956,0.0
7.192,1.960028422183585,-0.010937459055475154,0.0
7.292,1.9600183960869997,-0.010930146622908893,0.0
7.392,1.9600160782188123,-0.010927151786901852,0.0
7.492,1.9600054343885895,-0.010926851296608758,0.0
7.5920000000000005,1.9600070508020977,-0.010923545712776662,0.0
7.692,1.9600105156116674,-0.010919327962397397,0.0
7.792,1.9600095828035717,-0.01091555066569736,0.0
7.892,1.9600178788287617,-0.01090703434765403,0.0
7.992,1.9600265309490388,-0.010902045930341754,0.0
8.092,1.9600253858228887,-0.010899722862220518,0.0
8.192,1.9600230806211043,-0.010900208971176781,0.0
8.292,1.9600246735862747,-0.010893248527667248,0.0
8.392,1.9600266648945714,-0.010886343989416375,0.0
8.492,1.9600316511684557,-0.01087531882479497,0.0
8.592,1.9600399791772936,-0.01086094642925705,0.0
8.692,1.9600424397480625,-0.010845554482491577,0.0
8.792,1.9600473056818621,-0.010834400806793818,0.0
8.892,1.9600486655409421,-0.01082979336664012,0.0
8.992,1.9600408924427146,-0.010829431881792202,0.0
9.092,1.9600369560762942,-0.010826044977824124,0.0
9.192,1.9600303815474973,-0.010824553525105468,0.0
9.292,1.9600265683931393,-0.010820749403533456,0.0
9.392,1.960021879359623,-0.010820917452675298,0.0
9.492,1.9600171959858759,-0.010817205676495809,0.0
9.592,1.9600133753183684,-0.01081647317316661,0.0
9.692,1.960006274585304,-0.010810201286092959,0.0
9.792,1.9600013482913956,-0.010808809837005244,0.0
9.892,1.9599969681029634,-0.010805254890814677,0.0
9.992,1.9599933762400914,-0.01080684522758045,0.0
10.092,1.959987833884948,-0.010805611335093562,0.0
10.192,1.9599834855600922,-0.010802440280574989,0.0
10.292,1.9599759404069945,-0.010802372280180198,0.0
10.392,1.9599721470311189,-0.01079879308928275,0.0
10.493,1.9599643614920872,-0.010798365846470483,0.0
10.593,1.959962281993649,-0.010793678518061345,0.0
10.693,1.9599579064742585,-0.010795024481108766,0.0
10.793,1.959953272422543,-0.010790094029398184,0.0
10.893,1.9599502115680314,-0.010790096548826959,0.0
10.993,1.9599423477036935,-0.01078112660699787,0.0
11.093,1.9599376174848404,-0.010781133237089485,0.0
11.193,1.9599339578197004,-0.010776458404165232,0.0
11.293,1.9599314577872604,-0.010780823423386866,0.0
11.393,1.9599258391193684,-0.010780020622237454,0.0
11.493,1.959921455830493,-0.010776027388207998,0.0
11.593,1.9599125710504646,-0.010776271800101028,0.0
11.693,1.959909834717386,-0.010772044024785113,0.0
11.793,1.9599026218530924,-0.010771430688134888,0.0
11.893,1.959900803646785,-0.01076722688823501,0.0
