timestamp,elapsed_time,slam_mode,num_points,density_3d,density_2d,coverage_2d,volume,bbox_x,bbox_y,bbox_z,z_range_min,z_range_max
6.4,6.4,rgbd,457,32.700445762654844,65.28371309069969,7.0002146,13.975345,2.1635897159576416,3.2354631423950195,1.9964165687561035,0.0015250779688358307,1.9979416131973267
10.4,10.4,rgbd,690,36.930875744456955,73.7294149836775,9.358544,18.683554,2.892491102218628,3.235461711883545,1.9964165687561035,0.0015250779688358307,1.9979416131973267
12.5,12.5,rgbd,997,40.64952245387536,81.15532146210423,12.285085,24.526733,3.197352886199951,3.8422675132751465,1.9964643716812134,0.001477271318435669,1.9979416131973267
14.5,14.5,rgbd,1198,41.25450167826683,83.79005296234125,14.29764,29.039255,3.6668078899383545,3.8992061614990234,2.031052350997925,-0.03311075642704964,1.9979416131973267
16.5,16.5,rgbd,1221,42.05024505062505,85.39871007263662,14.29764,29.036692,3.6668078899383545,3.8992061614990234,2.0308730602264404,-0.032931506633758545,1.9979416131973267
18.5,18.5,rgbd,1337,37.905925664758136,76.98212496403336,17.367668,35.27153,4.454154968261719,3.8992061614990234,2.0308730602264404,-0.032931506633758545,1.9979416131973267
20.6,20.6,rgbd,1452,37.512043068675666,76.1822001332172,19.05957,38.70757,4.888064384460449,3.8992061614990234,2.0308730602264404,-0.032931506633758545,1.9979416131973267
22.7,22.7,rgbd,1556,32.64994558156486,66.30789463331656,23.466286,47.657047,6.018221378326416,3.8992061614990234,2.0308730602264404,-0.032931506633758545,1.9979416131973267
24.7,24.7,rgbd,1621,24.21574780247159,49.17910766977356,32.96115,66.93991,7.001312732696533,4.707852840423584,2.0308730602264404,-0.032931506633758545,1.9979416131973267
26.7,26.7,rgbd,1709,22.941176085025777,46.59061677716931,36.681206,74.49487,7.7914934158325195,4.707852840423584,2.0308730602264404,-0.032931506633758545,1.9979416131973267
28.8,28.8,rgbd,1785,21.533553218442812,43.73191186197178,40.816875,82.89389,7.7914934158325195,5.238646030426025,2.0308730602264404,-0.032931506633758545,1.9979416131973267
30.7,30.7,rgbd,1918,16.280781922274702,33.064200850910034,58.008358,117.80761,11.028663635253906,5.259781360626221,2.0308730602264404,-0.032931506633758545,1.9979416131973267
32.7,32.7,rgbd,1997,16.951366787686435,34.426073565832816,58.008358,117.80761,11.028663635253906,5.259781360626221,2.0308730602264404,-0.032931506633758545,1.9979416131973267
34.8,34.8,rgbd,2030,16.26737374842799,34.86117758533336,58.230965,124.78966,11.08322525024414,5.253973007202148,2.143012046813965,-0.020400382578372955,2.1226117610931396
36.8,36.8,rgbd,2212,14.322810323404713,30.697786778949794,72.05731,154.43896,11.081178665161133,6.502675533294678,2.143279552459717,-0.034551121294498444,2.1087284088134766
38.8,38.8,rgbd,2394,13.828689033567098,30.164654256515675,79.36441,173.11836,11.103370666503906,7.1477766036987305,2.181309700012207,-0.03419779986143112,2.1471118927001953
40.8,40.8,rgbd,2549,13.269547631397712,28.72393430152578,88.741325,192.09396,11.0875244140625,8.00370979309082,2.1646506786346436,-0.0350002720952034,2.129650354385376
42.8,42.8,rgbd,3035,12.600787830521474,27.536896900222896,110.21576,240.85796,11.091251373291016,9.937179565429688,2.185331344604492,-0.026940029114484787,2.158391237258911
44.8,44.8,rgbd,3241,13.56130496214813,29.468834009682855,109.9806,238.9888,11.058095932006836,9.945708274841309,2.173008680343628,-0.039501216262578964,2.133507490158081
46.8,46.8,rgbd,3658,15.281323819201926,33.21922247454852,110.11697,239.37717,11.079669952392578,9.938650131225586,2.173844575881958,-0.03825043886899948,2.135594129562378
48.9,48.9,rgbd,3904,16.71012021043635,35.6120272110207,109.625885,233.63087,11.03668212890625,9.932866096496582,2.1311652660369873,-0.04116269201040268,2.0900025367736816
50.8,50.8,rgbd,3922,16.29981614588195,35.818484621928896,109.49654,240.61621,11.04434871673584,9.91425895690918,2.1974778175354004,-0.1266109049320221,2.070866823196411
52.9,52.9,rgbd,4036,16.91389177853143,36.78358802116011,109.72285,238.62042,11.067816734313965,9.913684844970703,2.1747560501098633,-0.05995341017842293,2.114802598953247
